 -0.108825  0.430384  0.597511  1.000000  0.860820  0.016984  0.122196  1.000000
 -0.178548 -0.620636 -0.537977  1.000000  0.974678  0.014319  0.011003  1.000000
 -0.003511 -1.128220  1.254858  1.000000  0.819229  0.015430  0.165342  1.000000
 -0.074615  0.573508  0.038493  1.000000  0.916570  0.021281  0.062148  1.000000
 -2.109963  0.087731  0.937964  1.000000  0.993242  0.000047  0.006712  1.000000
 -2.760026  1.221129  0.499426  1.000000  0.997683  0.000008  0.002309  1.000000
 -0.569978 -0.338916 -0.113698  1.000000  0.981767  0.004876  0.013357  1.000000
 -0.592079  1.852017 -0.264606  1.000000  0.952027  0.005236  0.042737  1.000000
  0.557778  0.416220 -1.170661  1.000000  0.869477  0.109585  0.020937  1.000000
  0.542515  1.072722  1.695498  1.000000  0.218899  0.022163  0.758938  3.000000
 -0.215231  0.080744 -1.284924  1.000000  0.982916  0.012551  0.004533  1.000000
 -0.961355 -0.884044  2.406957  1.000000  0.788030  0.000586  0.211384  1.000000
 -1.179141  2.740407  0.152212  1.000000  0.933890  0.000901  0.065209  1.000000
 -1.031380 -0.690950 -0.576468  1.000000  0.996347  0.001181  0.002472  1.000000
  0.083245  1.186186 -2.057262  1.000000  0.970721  0.025111  0.004168  1.000000
 -0.554961 -0.120980 -1.590289  1.000000  0.994372  0.004226  0.001402  1.000000
  0.796136  0.944589 -0.642002  1.000000  0.713146  0.201920  0.084934  1.000000
 -0.159147  0.949128  0.147978  1.000000  0.901618  0.016780  0.081602  1.000000
  0.270545  0.017235  1.281356  1.000000  0.608071  0.029562  0.362366  1.000000
 -2.080700 -0.634576 -0.325015  1.000000  0.999306  0.000052  0.000642  1.000000
 -1.160521 -2.371807 -0.989280  1.000000  0.998936  0.000550  0.000514  1.000000
 -0.158349 -0.320865  0.475464  1.000000  0.921465  0.014706  0.063829  1.000000
  1.575072  0.086776 -0.172591  1.000000  0.255151  0.616575  0.128274  2.000000
  0.200976 -1.210203 -0.058429  1.000000  0.930163  0.037917  0.031920  1.000000
 -2.391197 -0.658013  2.132452  1.000000  0.983021  0.000012  0.016967  1.000000
